Listen port 8000
2013-06-10 15:34:38 ['\xeb\xffm\xd4\xff$master,205,205,1,1,0', '$slave,12588,  0', '$counter,0,0']
2013-06-10 15:34:38 ['$master,210,210,1,1,1', '$slave,210,210', '$counter,0,0']
2013-06-10 15:34:38 ['$master,215,215,1,1,1', '$slave,215,215', '$counter,0,0']
2013-06-10 15:34:39 ['$master,220,220,1,1,1', '$slave,220,220', '$counter,0,0']
2013-06-10 15:34:39 ['$master,225,225,1,1,1', '$slave,225,225', '$counter,0,0']
2013-06-10 15:34:40 ['$master,230,230,1,1,1', '$slave,230,230', '$counter,0,0']
2013-06-10 15:34:40 ['$master,235,235,1,1,1', '$slave,235,235', '$counter,0,0']
2013-06-10 15:34:40 ['$master,240,240,1,1,1', '$slave,240,240', '$counter,0,0']
2013-06-10 15:34:41 ['$master,245,245,1,1,1', '$slave,245,245', '$counter,0,0']
2013-06-10 15:34:41 ['$master,250,250,1,1,1', '$slave,250,250', '$counter,0,0']
2013-06-10 15:34:41 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:34:42 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,0,0']
2013-06-10 15:34:49 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,121,0']
2013-06-10 15:36:50 ['$master,205,205,1,1,1', '$slave,205,205', '$counter,22,0']
2013-06-10 15:36:50 ['$master,210,210,1,1,1', '$slave,210,210', '$counter,0,0']
2013-06-10 15:36:50 ['$master,215,215,1,1,1', '$slave,215,215', '$counter,0,0']
2013-06-10 15:37:20 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,176,0']
2013-06-10 15:37:27 ['$master,205,205,1,1,1', '$slave,205,205', '$counter,0,0']
2013-06-10 15:37:27 ['$master,210,210,1,1,1', '$slave,210,210', '$counter,0,0']
2013-06-10 15:37:28 ['$master,215,215,1,1,1', '$slave,215,215', '$counter,0,0']
2013-06-10 15:37:28 ['$master,220,220,1,1,1', '$slave,220,220', '$counter,0,0']
2013-06-10 15:37:28 ['$master,225,225,1,1,1', '$slave,225,225', '$counter,0,0']
2013-06-10 15:37:28 ['$master,230,230,1,1,1', '$slave,230,230', '$counter,0,0']
2013-06-10 15:37:29 ['$master,235,235,1,1,1', '$slave,235,235', '$counter,0,0']
2013-06-10 15:37:29 ['$master,240,240,1,1,1', '$slave,240,240', '$counter,0,0']
2013-06-10 15:37:30 ['$master,245,245,1,1,1', '$slave,245,245', '$counter,10,0']
2013-06-10 15:37:31 ['$master,200,200,1,1,1', '$slave,200,200', '$counter,43,0']
2013-06-10 15:37:47 ['$master,205,205,1,1,1', '$slave,205,205', '$counter,14,0']
2013-06-10 15:37:48 ['$master,210,210,1,1,1', '$slave,210,210', '$counter,0,0']
2013-06-10 15:37:48 ['$master,215,215,1,1,1', '$slave,215,215', '$counter,0,0']
2013-06-10 15:37:48 ['$master,220,220,1,1,1', '$slave,220,220', '$counter,0,0']
2013-06-10 15:37:49 ['$master,225,225,1,1,1', '$slave,225,225', '$counter,0,0']
2013-06-10 15:37:49 ['$master,230,230,1,1,1', '$slave,230,230', '$counter,0,0']
2013-06-10 15:37:50 ['$master,235,235,1,1,1', '$slave,235,235', '$counter,2,0']
2013-06-10 15:37:52 ['$master,240,230,1,1,1', '$slave,240,230', '$counter,121,0']
2013-06-10 15:37:53 ['$master,245,225,1,1,1', '$slave,245,225', '$counter,20,0']
2013-06-10 15:37:53 ['$master,250,220,1,1,1', '$slave,250,220', '$counter,9,0']
2013-06-10 15:37:53 ['$master,255,215,1,1,1', '$slave,255,215', '$counter,9,0']
2013-06-10 15:37:54 ['$master,255,210,1,1,1', '$slave,255,210', '$counter,14,0']
2013-06-10 15:37:54 ['$master,255,205,1,1,1', '$slave,255,205', '$counter,8,0']
2013-06-10 15:37:55 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,23,0']
2013-06-10 15:37:56 ['$master,255,255,1,1,1', '$slave,255,255', '$counter,37,0']
2013-06-10 15:37:57 ['$master,250,255,1,1,1', '$slave,250,255', '$counter,21,0']
2013-06-10 15:37:57 ['$master,245,255,1,1,1', '$slave,245,255', '$counter,14,0']
2013-06-10 15:37:57 ['$master,240,255,1,1,1', '$slave,240,255', '$counter,17,0']
2013-06-10 15:37:58 ['$master,235,255,1,1,1', '$slave,235,255', '$counter,22,0']
2013-06-10 15:37:58 ['$master,230,255,1,1,1', '$slave,230,255', '$counter,14,0']
2013-06-10 15:37:58 ['$master,225,255,1,1,1', '$slave,225,255', '$counter,26,0']
2013-06-10 15:37:59 ['$master,220,255,1,1,1', '$slave,220,255', '$counter,17,0']
